smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
O=P(O)(O)OP(=O)(O)O.c1cnoc1,-7.762479999999986,0.8019399999999968,8.250420000000004,0.551251455180414,0.7178474811727686,0.7378668171557328,0.6758764077682479,112,0,1,247.03600000000003
O=P(O)(O)O.O=[PH](O)OP(=O)(O)O,-7.624519999999966,0.9041199999999949,8.29822000000001,0.4508731082653803,0.7801052862469796,0.7659659518434703,0.675679899091096,113,0,1,259.96799999999996
C[P+](C)C.C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,-8.260860000000019,0.07072000000000003,8.35503999999998,0.9138678696158333,0.27231849089712634,0.7993674755454823,0.6756028983720808,114,0,1,298.54400000000004
O[PH](O)=S.c1cc[nH]c1,-7.837659999999985,0.8621999999999975,8.132300000000008,0.6059516880092852,0.7545636226267917,0.6684302106847069,0.6755266774647057,115,0,1,165.154
C1CCOOC1.O[PH](O)=S,-7.758859999999982,0.7573199999999973,8.28624000000001,0.5486175785797123,0.6906607199434547,0.7589235327313562,0.6753529026494925,116,0,1,186.169
O=P(O)(O)O.O=[PH](O)CP(=O)(O)O,-7.635779999999964,0.8235799999999948,8.348140000000017,0.45906577415594896,0.7310326338621974,0.7953113243039693,0.6751540521270317,117,0,1,257.996
C[PH](C)=O.FC(F)(F)C(F)(F)S(F)(F)F,-7.942539999999984,0.24376000000000034,8.51321999999999,0.6822613504074226,0.37775096877970293,0.8923532731376591,0.6749450050112014,118,0,1,286.12399999999997
C[P+](C)(C)C.O=P(O)(O)OP(=O)(O)O,-7.919859999999983,0.7421599999999953,8.14264,0.6657596041908906,0.6814238015159231,0.6745085590669451,0.6739584453388221,119,0,1,269.087
O=C1OCC(F)(F)O1.O[PH](O)=S,-7.6875799999999845,0.8469999999999975,8.276239999999992,0.49675494761347316,0.7453023323828298,0.7530450526711503,0.6738352050673511,120,0,1,222.10500000000002
O=P(O)(O)O.OB(O)O,-7.845619999999981,0.824839999999996,8.146480000000022,0.6117433061699336,0.7318003460797897,0.6767658954100728,0.673769453838946,121,1,1,159.827
BB(BOP(=O)(O)O)OP(=O)(O)O.CC(C#N)C#N,-7.707039999999983,0.7251399999999969,8.35245999999999,0.5109138533177804,0.6710535936243299,0.7978508276899587,0.6737305651586166,122,1,1,309.52200000000005
CCOC(=O)OC(C)C.O=P(O)(O)OP(=O)(O)O,-7.769539999999982,0.7338199999999969,8.287619999999999,0.5563882421419946,0.6763422777899607,0.7597347629796563,0.6737130611714491,123,0,1,310.132
OP(O)(O)=S.c1ccoc1,-7.75921999999999,0.9251399999999974,8.147739999999992,0.5488795110593454,0.7929126757817232,0.6775065838976397,0.6735402896113765,124,0,1,182.137
FC(F)(F)C(F)(F)S(F)(F)F.F[B-](F)F,-8.01283999999998,0.2092200000000003,8.467899999999991,0.7334109429568958,0.3567059052911211,0.8657120015048543,0.6733198550763468,125,1,0,275.87899999999996
O=P(O)(O)OP(=O)(O)O.OB1OBO1,-7.926439999999988,0.6840599999999969,8.178840000000013,0.6705471478463076,0.6460237381492013,0.6957886568848597,0.6732867285525965,126,1,1,249.61000000000004
C1COCCO1.CC(=O)OBOC(C)=O,-7.7103199999999825,0.6112199999999973,8.435839999999978,0.5133003492432744,0.6016426604274792,0.8468655944318604,0.6732291406739702,127,1,0,218.01399999999998
C1COCCO1.O=[PH](O)CP(=O)(O)O,-7.558899999999973,0.754979999999996,8.464480000000016,0.403128637951065,0.6892349686822123,0.863701561324282,0.6731897065196961,128,0,1,248.10799999999998
B1OCCO1.CC(=O)OBOC(C)=O,-7.697219999999983,0.5979799999999973,8.457699999999981,0.5037689173457194,0.5935755891886597,0.8597159518434498,0.6730897326976937,129,1,0,201.78
